Companies,Website,Employees,Category,Country,Linkedin
Kane's Furniture,https://www.kanesfurniture.com/,690,Furniture,United States,
Moe's Home,https://www.moeshome.com/,280,Furniture,Canada,
Agata,https://www.agatameble.pl/,990,Furniture,Poland,https://www.linkedin.com/company/agata-s-a/
Møbelringen,https://www.mobelringen.no/,510,Furniture,Norway,linkedin.com/company/mobelringen-as
Marshalls,https://www.marshalls.com/us/store/index.jsp,16000,Retail,United States,linkedin.com/company/marshalls-llc
Fonq,https://www.fonq.nl/,220,Furniture,Netherlands,https://www.linkedin.com/company/fonq-nl
Berden Mode & Wonen,https://www.berden.nl/wonen-en-slapen,240,Furniture,Netherlands,linkedin.com/company/berden-wonen
Mr Price Branded Bargains,https://www.mrprice.online/,630,Retail,Ireland,https://www.linkedin.com/company/mrpricebrandedbargains/
Down Town,https://www.downtownstores.co.uk/,360,Furniture,United Kingdom,https://www.linkedin.com/company/oldrids/
Magasins Hart Stores,https://www.hartstores.com/fr,570,Retail,Canada,https://www.linkedin.com/company/hart-stores/
Kärkkäinen,https://www.karkkainen.com/en-en,220,Retail,Finland,linkedin.com/company/karkkainen
The Original Factory Shop,https://www.tofs.com/collections/home-garden-leisure,2100,Retail,United Kingdom,linkedin.com/company/the-original-factory-shop
Manor,https://www.manor.ch/fr,6800,Retail,Switzerland,https://www.linkedin.com/company/manor/
Baker Mc Guire,https://www.bakerfurniture.com/,530,Furniture,United States,
Rowe Furniture,https://rowefurniture.com/,230,Furniture,United States,
Haynes Furniture,https://www.haynesfurniture.com/,290,Furniture,United States,
Ivan Smith Furniture,https://www.ivansmith.com/,570,Furniture,United States,
Kimbrell's,https://www.kimbrells.com/,310,Furniture,United States,
Tepperman's,https://www.teppermans.com/,300,Furniture,Canada,
Meubles 3D ,https://www.meublesrd.com/fr/,230,Furniture,Canada,
American Freight Furniture & Mattress,https://www.americanfreight.com/,1600,Furniture,United States,
Sherman's ,https://www.shermansnow.com/,300,Furniture,United States,
Gallery Furniture,https://es.galleryfurniture.com/?,260,Furniture,United States,
Levin Furniture & Mattress,https://levinfurniture.com/,510,Furniture,United States,
El dorado furniture,https://www.eldoradofurniture.com/,420,Furniture,United States,
Homemakers,https://www.homemakers.com/,340,Furniture,United States,
Abc warehouse,https://www.abcwarehouse.com/,510,Furniture,United States,
Baber's,https://www.babers.com/,260,Furniture,United States,
SKC Furniture,https://shoprentone.com/,250,Furniture,United States,
Famsa Furniture,https://famsafurniture.com/,250,Furniture,United States,
Darvin Furniture,https://www.darvin.com/,250,Furniture,United States,
Johnny Janosik,https://www.johnnyjanosik.com/,280,Furniture,United States,
EQ3,https://www.eq3.com/ca/en,320,Furniture,Canada,
Structube,https://www.structube.com/en_ca/,470,Furniture,Canada,
The One Total Home Experience,https://www.theone.com/,320,Furniture,United States,
Elte,https://www.elte.com/,860,Furniture,Canada,
Linen Chest,https://www.linenchest.com/fr_ca/,670,Furniture,Canada,
"Franco Manufacturing Co., Inc.",https://francos-wondrous-project-2a374d.webflow.io/,300,Furniture,United States,
Kravet,https://www.kravet.com/,610,Furniture,United States,
HM Richards,https://www.hmrichards.com/,200,HoldCo,United States,
Lovesac,https://www.lovesac.com/,920,Furniture,United States,
L. & J.G. Stickley,https://www.stickley.com/,240,Furniture,United States,
Whalen Furniture,https://whalenfurniture.com/,220,Furniture,United States,
South Shore Furniture,https://www.southshorefurniture.com/fr,700,Furniture,Canada,
Hemtex,https://www.hemtex.se/,660,Furniture,Sweden,
Rusta,https://www.rusta.com/sv-se,4800,Retail,Sweden,
Clas Ohlson,https://www.clasohlson.com/se/,5000,Retail,Sweden,
Biltema,https://www.biltema.se/,1600,Retail,Sweden,
DFS ,https://www.dfs.co.uk/,3000,Furniture,United Kingdom,
John Levis & Partners ,https://www.johnlewis.com/,70000,Retail,United Kingdom,
Currys,https://www.currys.co.uk/,24000,Retail,United Kingdom,
Debenhams,https://www.debenhams.com/,,,,
B&Q,https://www.diy.com/,17000,Furniture,United Kingdom,
Leekes,https://www.leekes.co.uk/,240,Furniture,United Kingdom,
Mobilya,https://www.mobilya.it/,460,Furniture,Itlay,
Groupe BMR,https://www.bmr.ca/fr,8000,Retail,Canada,
Menards,https://www.menards.com/main/home.html,45000,Retail,United States,
Rona,https://www.rona.ca/en,8400,Retail,Canada,
Johannes Fog,https://www.johannesfog.dk/,440,Retail,Denmark,
Jem & Fix,https://www.jemogfix.dk/,870,Retail,Denmark,
Ubique group,https://www.theubiquegroup.com/,380,Holdco,United States,
eSolutions Furniture ,https://esolutionsfurniture.com/,650,Holdco,Canada,
,,,,,
Abbyson,https://www.abbyson.com/,230,Furniture,United States,
Tropitone,https://www.tropitone.com/,210,Furniture,United States,
Summer classics ,https://summerclassics.com/,230,Furniture,United States,
Brown Jordan,https://www.brownjordan.com/,200,Furniture,United States,
Roda,https://www.rodaonline.com/fr/,200,Furniture,Italy,
Harbour,https://shopharbour.com/,250,Furniture,United States,
Garden Furniture ,https://www.gardenfurniturespain.com/,200,Furniture,Spain,
Life Outdoor Living,https://www.lifeoutdoorliving.com/en,210,Furniture,Netherlands,
Fortunoff Backyard Store,https://fortunoffbys.com/,350,Furniture,United States,
Lexington Home Brands,https://www.lexington.com/,200,HoldCo,United States,
Simpli Home,https://www.simpli-home.com/,200,Furniture,United States,
Tikamoon,https://www.tikamoon.com/,200,Furniture,France,
Harlem Furniture,https://harlemfurniturenyc.com/,330,Furniture,United States,
Kettal,https://www.kettal.com/living/fr/,210,Furniture,Spain,
Gloster,https://www.gloster.com/en/,600,Furniture,United Kingdom,
Calligaris S.p.A.,https://www.calligaris.com/it-IT,320,Furniture,Italy,
LEMA,https://www.lemamobili.com/it/,250,Furniture,Italy,
Giorgetti,https://www.giorgettimeda.com/ww/en/,280,Furniture,Italy,
Rimadesio,https://www.rimadesio.it/it/,300,Furniture,Italy,
Intern,https://www.interna.it/it/,260,Furniture,Italy,
Artemide,https://www.artemide.com/fr/,450,Furniture,Italy,
Vitra,https://www.vitra.com/fr-fr/home,1300,Furniture,Switzerland,
FRITZ HANSEN,https://www.fritzhansen.com/,300,Furniture,Denmark,
Landscape Forms ,https://www.landscapeforms.com/,400,Furniture,United States,
ARper,https://www.arper.com/fr_FR/,260,Furniture,Italy,
Steelase,https://www.steelcase.com/,12000,Furniture,United States,
Ahrend,https://www.ahrend.com/en/,720,Furniture,Netherlands,
KI ,https://www.ki.com/,2300,Furniture,United States,
AIS,https://www.ais-inc.com/,800,Furniture,United States,
Logiflex,https://logiflex.ca/en-us/,400,Furniture,Canada,
The Senator Group,https://thesenatorgroup.com/,540,Furniture,United Kingdom,
Lindbak,https://www.lindbak.no/,270,Furniture,Norway,
Actiu,https://www.actiu.com/fr/,290,Furniture,Spain,
Grupo Forma 5,https://forma5.com/,370,Furniture,Spain,
Lista Office LO,https://www.lista-office.com/de/business-solutions,320,Furniture,Switzerland,
The HON Company,https://www.hon.com/,1900,Furniture,United States,
HNI Company,https://www.hnicorp.com/,400,Furniture,United States,
Natuzzi,https://www.natuzzi.com/fr/fr,1400,Furniture,Italy,
Vibia,https://vibia.com/,220,Lighting,Spain,
King Living,https://www.kingliving.com/shop/living/sofas/1977,430,Furniture,Australia,
Coco Republic,https://www.cocorepublic.com.au/,350,Furniture,Australia,
Jardan,https://www.jardan.com.au/,200,Furniture,Australia,
Oka,https://www.oka.com/,350,Furniture,United Kingdom,
Sharps ,https://www.sharps.co.uk/,520,Furniture,United Kingdom,
Sanderson Design Group,https://sandersondesign.group/,550,HoldCo,United Kingdom,
Loods 5 ,https://www.loods5.nl/,200,Furniture,Netherlands,
Muy Mucho ,https://muymucho.com/fr,410,Decor,Spain,
Interior's,http://www.interiors.fr,350,Furniture,France,
At Home Group,https://www.athome.com/,7700,Furniture,United States,
Bouclair,https://www.bouclair.com/fr,1900,Furniture,Canada,
Happy Casa Store,https://shop.happycasastore.it/,1000,Retail,Italy,
Bricofer,https://www.bricofer.it/,650,Retail,Italy,
OBI,https://www.obi-italia.it/,400,Retail,Italy,
Tecnomat,https://www.tecnomat.it/it/,2300,Retail,Italy,
Iperceramica,https://www.iperceramica.it/,360,Kitchen & Bath,Italy,
Cersanit,https://www.cersanit.com/,5500,Kitchen & Bath,Poland,
Hinkley,https://www.hinkley.com/,260,Lighting,United States,
Kichler,https://www.kichler.com/,410,Lighting,United States,
Artika,https://artika.com/,220,Lighting,Canada,
Globe,https://globe-electric.com/?filter.v.availability=1,210,Lighting,Canada,
Light House,https://pdlighthouse.com/,220,Lighting,United States,
Surya,https://www.surya.com/,1600,Furniture,United States,
Deco Marché,https://www.decomarche.com/,200,Furniture,United States,
Mathis Home,https://www.mathishome.com/mathis-home,930,Furniture,United States,
Schewels Home,https://www.schewelshome.com/,250,Furniture,United States,
WG&R Furniture,https://www.wgrfurniture.com/,290,Furniture,United States,
Star Furniture,https://www.starfurniture.com/,520,Furniture,United States,
Home Zone,https://homezonefurniture.com/,210,Furniture,United States,
HAY,https://www.hay.com/,590,Furniture,Denmark,
Modern,https://www.allmodern.com/,580,Furniture,United Kingdom,
Muuto,https://www.muuto.com/,240,Furniture,Denmark,
Arredissima,https://www.arredissima.com/,570,Furniture,Italy,
Semeraro,https://semeraro.it/,200,Furniture,Italy,
Hardeck,https://www.hardeck.de/,1100,Furniture,Germany,
