CompanyName,Website,LinkedIn,Sub Industry,Country,Employees
1st Dibs,https://www.1stdibs.com/fr/,https://www.linkedin.com/company/1stdibs/,Furniture,United States,200-500
abc carpet & home,http://www.abchome.com/,http://www.linkedin.com/company/abc-carpet-&-home,Furniture,United States,450
Actona Group A/S,http://www.actonagroup.com/,http://www.linkedin.com/company/actona-group-as,HoldCo,Denmark,3‚-000
Adeo Services,https://www.adeo.com/,http://www.linkedin.com/company/adeo-services,HoldCo,France,1‚-600
Agata S.A.,http://www.agatameble.pl/,http://www.linkedin.com/company/agata-s-a,Furniture,Poland,580
Albany Industries Inc,http://www.albanyindustries.com/,http://www.linkedin.com/company/albany-industries-inc,Furniture,United States,700
Alborada,http://www.alborada.es/,http://www.linkedin.com/company/alborada,Furniture,Spain,370
Alfred Williams & Company,http://www.alfredwilliams.com/,http://www.linkedin.com/company/alfred-williams-&-company,Furniture,United States,340
Allsteel,http://www.allsteeloffice.com/,http://www.linkedin.com/company/allsteel,Furniture,United States,810
Alt√®ra,http://www.altera.design/,http://www.linkedin.com/company/alt%c3%a8ra-contract,Furniture,Italy,350
American Furniture Warehouse,http://www.afw.com/,http://www.linkedin.com/company/afwonline,Furniture,United States,3‚-500
American Leather ÁæéÂõΩÁöÆÈù©,http://www.americanleather.com/,http://www.linkedin.com/company/american-leather,Furniture,United States,600
Andreu World,http://www.andreuworld.com/,http://www.linkedin.com/company/andreuworld,Furniture,Spain,510
Angie's Upholstery,http://www.angiesupholstery.com/,http://www.linkedin.com/company/anderson-&-denardo-inc.,Furniture,United States,470
Anthropologie Home,https://www.urbn.com/our-brands,https://www.linkedin.com/company/anthropologie/,HoldCo,United States,"5,000-10,000"
Aquinos Group,http://www.aquinosgroup.com/,http://www.linkedin.com/company/aquinosgroup,HoldCo,Portugal,"1,000-5,000"
Aramis Group,http://www.aramisgroup.ro/,http://www.linkedin.com/company/descoperaaramisgroup,HoldCo,Romania,310
Architectural Digest,http://www.architecturaldigest.com/,http://www.linkedin.com/company/architectural-digest-adpro,Furniture,United States,2‚-000
Arhaus,https://www.arhaus.com/,https://www.linkedin.com/company/arhaus-furniture/,Furniture,United States,"1,000-5,000"
Art van Furniture,http://www.artvan.com/,http://www.linkedin.com/company/art-van-furniture,Furniture,United States,1‚-200
Artek,http://www.artek.fi/,http://www.linkedin.com/company/artek,Furniture,Finland,210
Article,http://www.article.com/,http://www.linkedin.com/company/article.com,Furniture,Canada,750
Artopex,http://www.artopex.com/,http://www.linkedin.com/company/artopex,Furniture,Canada,230
Ashley Furniture Homestores,http://www.ashleyhomestores.com/,http://www.linkedin.com/company/ashley-furniture-homestores,Furniture,United States,35‚-000
